domain	utterance	intents
alarm	Cancel the alarm for tonight.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Reset all previous alarms	[IN:SILENCE_ALARM]
alarm	Set an alarm for wake up.	[IN:CREATE_ALARM]
alarm	Snooze this alarm	[IN:SNOOZE_ALARM]
alarm	Mute the timer alarm	[IN:UNSUPPORTED_ALARM]
alarm	Cancel my alarms on Saturday	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set my alarm Saturday for 10am	[IN:CREATE_ALARM]
alarm	set the alarm for 1 am	[IN:CREATE_ALARM]
alarm	cancel alarm	[IN:DELETE_ALARM]
alarm	set alarm to 5 pm	[IN:CREATE_ALARM]
alarm	set alarm to ring at 12p every day	[IN:CREATE_ALARM]
alarm	cancel alarm time please	[IN:DELETE_ALARM]
alarm	Alarm turn off.	[IN:SILENCE_ALARM]
alarm	Can you please set my alarm for 5:30 am	[IN:CREATE_ALARM]
alarm	Snooze my alarm for 1 hour	[IN:SNOOZE_ALARM]
alarm	show me my alarms for this week	[IN:GET_ALARM, IN:GET_TIME]
alarm	Snooze for 20 more minutes	[IN:SNOOZE_ALARM]
alarm	alarm set for 8pm to watch my show	[IN:CREATE_ALARM]
alarm	Cancel all the alarms.	[IN:DELETE_ALARM]
alarm	Set alarm for 6 Am daily	[IN:CREATE_ALARM]
alarm	Cancel all alarms	[IN:DELETE_ALARM]
alarm	set alarm for 9am on every sunday	[IN:CREATE_ALARM]
alarm	Dismiss alarm for 6 a.m.	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	Tell me what alarms I have set for Sunday?	[IN:GET_ALARM, IN:GET_TIME]
alarm	why don't we go for a 20 minutes alarm	[IN:CREATE_ALARM]
alarm	set alarm for next Monday to 5am	[IN:CREATE_ALARM]
alarm	what time is my alarm set tomorrow?	[IN:GET_ALARM, IN:GET_TIME]
alarm	how much time before the alarm goes off?	[IN:GET_ALARM]
alarm	cancel my alarm for Friday	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Delete all alarms.	[IN:DELETE_ALARM]
alarm	set an alarm for 7:15am	[IN:CREATE_ALARM]
alarm	set alarm for 7 am tomorrow	[IN:CREATE_ALARM]
alarm	Make a nature alarms that will wake me up tomorrow	[IN:CREATE_ALARM]
alarm	skip the next alarm	[IN:SILENCE_ALARM]
alarm	set alarm for 11 pm tonight	[IN:CREATE_ALARM]
alarm	set alarm for another 16 minutes	[IN:CREATE_ALARM]
alarm	What time is my alarm set up for tomorrow?	[IN:GET_ALARM, IN:GET_TIME]
alarm	How many more minutes until my alarm goes off?	[IN:GET_ALARM]
alarm	Set alarm for 30 minutes from now	[IN:CREATE_ALARM]
alarm	Cancel all of my alarms.	[IN:DELETE_ALARM]
alarm	How many more hours are left on my alarm?	[IN:GET_ALARM]
alarm	set an alarm for my meeting tomorrow	[IN:CREATE_ALARM]
alarm	Change my alarm from 5pm to 7pm tonight.	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	Set an alarm for 5:00 a.m.	[IN:CREATE_ALARM]
alarm	View all alarms	[IN:GET_ALARM]
alarm	set my alarm for 6am	[IN:CREATE_ALARM]
alarm	set alarm for 3 a.m	[IN:CREATE_ALARM]
alarm	do I have an alarm already for 9am?	[IN:GET_ALARM, IN:GET_TIME]
alarm	Turn off all alarms for the next month	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	delete alarm monthly 8am	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set an alarm for 7 am and 7:15 am	[IN:CREATE_ALARM]
alarm	set alarm for church	[IN:CREATE_ALARM]
alarm	Show all alarms	[IN:GET_ALARM]
alarm	Show my alarms	[IN:GET_ALARM]
alarm	What time is my alarm set for tomorrow morning?	[IN:GET_ALARM, IN:GET_TIME]
alarm	cancel my 5am alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set alarm to go off every five minutes for twenty minutes starting at 6am	[IN:CREATE_ALARM]
alarm	Set an alarm for my dentist appointment	[IN:CREATE_ALARM]
alarm	Are alarms set for 5 am?	[IN:GET_ALARM, IN:GET_TIME]
alarm	Set my alarm for noon tomorrow for my work lunch.	[IN:CREATE_ALARM]
alarm	Set alarm for 12 pm midnight	[IN:CREATE_ALARM]
alarm	set the alarm for 8 pm	[IN:CREATE_ALARM]
alarm	delete all alarms	[IN:DELETE_ALARM]
alarm	Set alarm for 5:30 AM workout	[IN:CREATE_ALARM]
alarm	Set an alarm named church for Sunday at 7 am.	[IN:CREATE_ALARM]
alarm	set alarm for 8am every morning	[IN:CREATE_ALARM]
alarm	Snooze all alarms	[IN:SNOOZE_ALARM]
alarm	Bring up my alarms.	[IN:CREATE_ALARM]
alarm	cancel the next alarm	[IN:DELETE_ALARM]
alarm	cancel alarm for Monday	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	make an alarm for 1 hour	[IN:CREATE_ALARM]
alarm	Id' like to set an alarm for 6:30pm.	[IN:CREATE_ALARM]
alarm	Set an alarm for 8 am tomorrow.	[IN:CREATE_ALARM]
alarm	cancel my alarms on tuesday	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Please list all alarms I have set	[IN:GET_ALARM]
alarm	What alarms do I have for the week?	[IN:GET_ALARM]
alarm	cancel alarms	[IN:DELETE_ALARM]
alarm	Can you set an alarm for 5pm on Tuesday.	[IN:CREATE_ALARM]
alarm	Cancel today's alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set an alarm to check in in 4 hours.	[IN:CREATE_ALARM]
alarm	Set an alarm for 9pm tonight	[IN:CREATE_ALARM]
alarm	alarm after 15 mins	[IN:CREATE_ALARM]
alarm	Snooze alarm for 10 minutes	[IN:SNOOZE_ALARM]
alarm	Turn on Nap alarm.	[IN:CREATE_ALARM]
alarm	please set a weekday alarm for 630 am	[IN:CREATE_ALARM]
alarm	Alarm at 2:17pm	[IN:CREATE_ALARM]
alarm	Set an alarm for 9:30am for every day this week	[IN:CREATE_ALARM]
alarm	Please set an alarm for 7am tomorrow for work.	[IN:CREATE_ALARM]
alarm	Cancel this alarm	[IN:DELETE_ALARM]
alarm	Delete my alarm for 4 pm tomorrow.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set my alarm for 9 pm.	[IN:CREATE_ALARM]
alarm	Change alarm from AM to PM	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	Set alarm for 2 hours from current time	[IN:CREATE_ALARM]
alarm	how much time is left on my alarm	[IN:GET_ALARM]
alarm	Cancel my alarms for this weekend.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	change the sound of my alarms	[IN:UNSUPPORTED_ALARM]
alarm	make an alarm for 7	[IN:CREATE_ALARM]
alarm	Set the volume to loud on my alarm.	[IN:UNSUPPORTED_ALARM]
alarm	Cancel current alarm	[IN:DELETE_ALARM]
alarm	delete alarm for 8:55 PM weekdaily	[IN:DELETE_ALARM]
alarm	erase all my alarms	[IN:DELETE_ALARM]
alarm	Set alarm for 6 tomorrow morning.	[IN:CREATE_ALARM]
alarm	set alarm for 6 am tomorrow	[IN:CREATE_ALARM]
alarm	How many hours till my alarm goes off in the morning	[IN:GET_ALARM, IN:GET_TIME]
alarm	set alarm for 1 am	[IN:CREATE_ALARM]
alarm	Reset alarm	[IN:SILENCE_ALARM]
alarm	show church alarm	[IN:GET_ALARM]
alarm	Show all of my current alarms	[IN:GET_ALARM]
alarm	Delete all today's alarms	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	what alarms do I have set?	[IN:GET_ALARM]
alarm	delete all my alarms for the past month	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set an alarm for 7pm tonight.	[IN:CREATE_ALARM]
alarm	set alarm for 5pm	[IN:CREATE_ALARM]
alarm	set alarm for breaks at 9:30	[IN:CREATE_ALARM]
alarm	Change the sound of the alarm when timer rings	[IN:UNSUPPORTED_ALARM]
alarm	what alarms do I have for Monday	[IN:GET_ALARM, IN:GET_TIME]
alarm	Set an alarm for 9pm tomorrow night	[IN:CREATE_ALARM]
alarm	Set alarm for weekdays only	[IN:CREATE_ALARM]
alarm	Set alarm for 10 am on Thursday	[IN:CREATE_ALARM]
alarm	delete my alarms for today	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	turn off my alarm for 8am friday	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	Set an alarm for 7:30 p.m	[IN:CREATE_ALARM]
alarm	set 5am alarm for everyday	[IN:CREATE_ALARM]
alarm	What alarms are set?	[IN:GET_ALARM]
alarm	Set alarm for 5 pm tonight	[IN:CREATE_ALARM]
alarm	Set an alarm for 2 pm to wake up baby	[IN:CREATE_ALARM]
alarm	play music for the alarm	[IN:UNSUPPORTED_ALARM]
alarm	delete the alarm for tomorrow morning	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Turn off my alarm for tomorrow morning.	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	mute the alarm	[IN:UNSUPPORTED_ALARM]
alarm	Cancel all alarms for today.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set my alarm for 9 am every other day	[IN:CREATE_ALARM]
alarm	How many alarms are set for tomorrow?	[IN:GET_ALARM, IN:GET_TIME]
alarm	set alarm for homework time	[IN:CREATE_ALARM]
alarm	set alarm for 3 minutes	[IN:CREATE_ALARM]
alarm	View alarms for Sunday	[IN:GET_ALARM, IN:GET_TIME]
alarm	Show all alarms	[IN:GET_ALARM]
alarm	set an alarm for 12 minutes	[IN:CREATE_ALARM]
alarm	No alarms tomorrow I want to sleep in.	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	Provide me a list of the alarms I have set.	[IN:GET_ALARM]
alarm	Turn on alarm	[IN:CREATE_ALARM]
alarm	Set alarm titled Potty Training for every 45 minutes.	[IN:CREATE_ALARM]
alarm	Snooze for 30 minutes	[IN:SNOOZE_ALARM]
alarm	cancel the alarm set for Tuesday	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set the alarm to 30 minutes for a study break	[IN:CREATE_ALARM]
alarm	Set a alarm for every hour for the next 4 hours.	[IN:CREATE_ALARM]
alarm	Set an alarm to go off every 30 minutes for the next two hours	[IN:CREATE_ALARM]
alarm	Set an alarm for 9am every Sunday this month	[IN:CREATE_ALARM]
alarm	Snooze this alarm.	[IN:SNOOZE_ALARM]
alarm	set the alarm for 15 minutes	[IN:CREATE_ALARM]
alarm	set alarm for 6 pm	[IN:CREATE_ALARM]
alarm	Cancel all alarms for today.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set an alarm for an 8 PM showing of Two and a Half Men.	[IN:CREATE_ALARM]
alarm	set alarm for 2 pm tomorrow	[IN:CREATE_ALARM]
alarm	Cancel 3pm alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Reset morning alarm	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	alarm at 6am	[IN:CREATE_ALARM]
alarm	Reset all alarms.	[IN:SILENCE_ALARM]
alarm	Tell me what alarms I have set for today	[IN:GET_ALARM, IN:GET_TIME]
alarm	open alarm schedule	[IN:GET_ALARM]
alarm	turn on all alarms	[IN:CREATE_ALARM]
alarm	Set an alarm for 3 am tomorrow.	[IN:CREATE_ALARM]
alarm	Turn off the alarm at 8am on Saturday	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	When is my next alarm	[IN:GET_ALARM]
alarm	Cancel the alarm for tomorrow morning.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Snooze my alarm for 15 minutes.	[IN:SNOOZE_ALARM]
alarm	Set an alarm for 5am every weekday.	[IN:CREATE_ALARM]
alarm	Cancel the time left on alarm.	[IN:DELETE_ALARM]
alarm	Alarm go off at 6 and 7 PM Tuesday	[IN:CREATE_ALARM]
alarm	Cancel my tuesday alarm.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Will the alarm sound first?	[IN:UNSUPPORTED_ALARM]
alarm	Set new alarm for Saturdays at 9am	[IN:CREATE_ALARM]
alarm	Turn off the alarm for tomorrow	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	Push Game of Thrones alarm back to 10 pm.	[IN:UPDATE_ALARM]
alarm	set an alarm for one hour	[IN:CREATE_ALARM]
alarm	set the alarm every 30 minutes for 120 minutes	[IN:CREATE_ALARM]
alarm	Set an alarm for every hour	[IN:CREATE_ALARM]
alarm	set alarm for 9am on weekends, and 5am monday through friday	[IN:CREATE_ALARM]
alarm	Set new alarm	[IN:CREATE_ALARM]
alarm	cancel all alarms tomorrow	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Wake me in 30 minutes	[IN:CREATE_ALARM]
alarm	Set an alarm, please, for 6:30pm	[IN:CREATE_ALARM]
alarm	Set an alarm for 1 pm on Thursday.	[IN:CREATE_ALARM]
alarm	set alarm to pick up mail	[IN:CREATE_ALARM]
alarm	Change alarm tone	[IN:UNSUPPORTED_ALARM]
alarm	record my own alarm tone	[IN:UNSUPPORTED_ALARM]
alarm	remove alarm for 3 pm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set alarm for 12pm today.	[IN:CREATE_ALARM]
alarm	set alarm for every monday 7am	[IN:CREATE_ALARM]
alarm	Remove 5am alarm on weekends	[IN:DELETE_ALARM]
alarm	snooze alarm	[IN:SNOOZE_ALARM]
alarm	activate all my alarms	[IN:CREATE_ALARM]
alarm	Cancel alarm setting for tomorrow morning.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set alarm for 5 am	[IN:CREATE_ALARM]
alarm	Set an alarm for 20 mins	[IN:CREATE_ALARM]
alarm	Show all alarms	[IN:GET_ALARM]
alarm	can you snooze my alarms this weekend	[IN:SNOOZE_ALARM]
alarm	Set an alarm reminder for Feb.14	[IN:CREATE_ALARM]
alarm	Set alarm for 6 am tomorrow	[IN:CREATE_ALARM]
alarm	Set daily alarms	[IN:CREATE_ALARM]
alarm	ADD AN EXTRA 10 MINUTES TO THE LAST ALARM.	[IN:UPDATE_ALARM]
alarm	can you set an alarm for 6 in the morning	[IN:CREATE_ALARM]
alarm	snooze alarm for 15 minutes	[IN:SNOOZE_ALARM]
alarm	Cancel alarm	[IN:DELETE_ALARM]
alarm	Show me all my alarms.	[IN:GET_ALARM]
alarm	Set alarm with my custom ring for 6 pm.	[IN:CREATE_ALARM]
alarm	set an alarm for 10pm tonight	[IN:CREATE_ALARM]
alarm	Set my alarm for 3PM	[IN:CREATE_ALARM]
alarm	Cancel all of my alarms for this week.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	set the alarm to ring at 5am on Sunday	[IN:CREATE_ALARM]
alarm	add 2 minutes to my alarm	[IN:UPDATE_ALARM]
alarm	Set alarm for 8 pm tonight.	[IN:CREATE_ALARM]
alarm	Set alarm for 6 am tomorrow	[IN:CREATE_ALARM]
alarm	Delete all alarms	[IN:DELETE_ALARM]
alarm	set an alarm for 5pm	[IN:CREATE_ALARM]
alarm	Set recurring daily alarm for 6am	[IN:CREATE_ALARM]
alarm	cancel 6 am alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Cancel all alarms	[IN:DELETE_ALARM]
alarm	Set alarm for tomorrow at 3:00 PM	[IN:CREATE_ALARM]
alarm	Set a new alarm for 20 minutes please	[IN:CREATE_ALARM]
alarm	Set up alarm for 6 pm for every Monday.	[IN:CREATE_ALARM]
alarm	Set alarm for 5 am every day	[IN:CREATE_ALARM]
alarm	repeat the last alarm to everyday	[IN:UPDATE_ALARM]
alarm	Delete all alarms	[IN:DELETE_ALARM]
alarm	please set the alarms to vibrate in the afternoon	[IN:UNSUPPORTED_ALARM]
alarm	Please turn off all alarms.	[IN:SILENCE_ALARM]
alarm	set an alarm for 6:00 am and 6:15 am	[IN:CREATE_ALARM]
alarm	Turn off the alarm!	[IN:SILENCE_ALARM]
alarm	Reset the alarm for later.	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	Send all alarms to my desktop.	[IN:UNSUPPORTED_ALARM]
alarm	cancel alarm for 8 am	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Add new alarm time for tomorrow	[IN:CREATE_ALARM]
alarm	Set alarm for 10 minutes.	[IN:CREATE_ALARM]
alarm	Do not forget to set the alarm?	[IN:CREATE_ALARM]
alarm	Remove alarm for 1:30 a.m.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set an alarm for 8 pm and 10 pm	[IN:CREATE_ALARM]
alarm	set an alarm for every 30 minutes for 3 hours	[IN:CREATE_ALARM]
alarm	Set alarm for three hours from now.	[IN:CREATE_ALARM]
alarm	Set alarm for dinner	[IN:CREATE_ALARM]
alarm	show alarms on work timer	[IN:GET_ALARM]
alarm	set alarm for 2 hours, 24 minutes and 2 seconds.	[IN:CREATE_ALARM]
alarm	notify me 5 minutes before alarm sounds.	[IN:UNSUPPORTED_ALARM]
alarm	Set alarm for 7 minutes with a warning that will go off at 5 minutes.	[IN:CREATE_ALARM]
alarm	set an alarm for 3pm	[IN:CREATE_ALARM]
alarm	set alarm for 7 pm tomorrow	[IN:CREATE_ALARM]
alarm	Show me my current alarms	[IN:GET_ALARM]
alarm	what time is my alarm set for?	[IN:GET_ALARM]
alarm	set an alarm for 10 minutes starting at 1pm	[IN:CREATE_ALARM]
alarm	Set alarm every minute for 5 minutes.	[IN:CREATE_ALARM]
alarm	Set my alarm for 7 am tomorrow.	[IN:CREATE_ALARM]
alarm	Set my alarm for 5:00 am for tomorrow morning	[IN:CREATE_ALARM]
alarm	Set alarm for Friday at 3pm	[IN:CREATE_ALARM]
alarm	Cancel alarms for tomorrow morning	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Cancel all alarms	[IN:DELETE_ALARM]
alarm	Turn off alarm for 7pm	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	Set a 20 minute alarm for my run	[IN:CREATE_ALARM]
alarm	snooze alarm for 40 mins	[IN:SNOOZE_ALARM]
alarm	cancel all alarms for saturday	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	What are all my alarms set?	[IN:GET_ALARM]
alarm	Set an alarm for 2 minutes	[IN:CREATE_ALARM]
alarm	How much time is left on alarm	[IN:GET_ALARM]
alarm	Cancel all alarms for Monday next week.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	snooze alarm	[IN:SNOOZE_ALARM]
alarm	set an alarm for 10 minutes to text hanna	[IN:CREATE_ALARM]
alarm	Set my alarm for 6 am tomorrow	[IN:CREATE_ALARM]
alarm	set alarm for 9pm	[IN:CREATE_ALARM]
alarm	Set alarm for every 10 minutes	[IN:CREATE_ALARM]
alarm	Set a repeating alarm for weekdays at 7am	[IN:CREATE_ALARM]
alarm	mute all alarms	[IN:UNSUPPORTED_ALARM]
alarm	Set an alarm to wake up daily at 6	[IN:CREATE_ALARM]
alarm	turn on the morning alarms	[IN:CREATE_ALARM]
alarm	can you set the alarm for me at 6 am?	[IN:CREATE_ALARM]
alarm	Set an alarm for 8 tonight	[IN:CREATE_ALARM]
alarm	set alarm for 5:15am	[IN:CREATE_ALARM]
alarm	Cancel all alarms	[IN:DELETE_ALARM]
alarm	set alarm 5pm	[IN:CREATE_ALARM]
alarm	Show me my next alarm.	[IN:GET_ALARM]
alarm	Set my alarm for 5:00 AM.	[IN:CREATE_ALARM]
alarm	Set an alarm for 5pm	[IN:CREATE_ALARM]
alarm	Cancel my alarms that are set for this week.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	set an alarm for every 20 minutes for 1 hour	[IN:CREATE_ALARM]
alarm	Change frequency of alarm	[IN:UPDATE_ALARM]
alarm	Set an alarm for 3 pm	[IN:CREATE_ALARM]
alarm	Set alarm for 8 am	[IN:CREATE_ALARM]
alarm	set alarm for 9 am	[IN:CREATE_ALARM]
alarm	Snooze the next two alarms	[IN:SNOOZE_ALARM]
alarm	cancel my 9:00am alarm please	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Deactivate the alarm after 10 minutes	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set an alarm for 6 am tomorrow	[IN:CREATE_ALARM]
alarm	Set alarms at 6am, 6:15am, and 6:30am	[IN:CREATE_ALARM]
alarm	Did I set an alarm for tomorrow morning already?	[IN:GET_ALARM, IN:GET_TIME]
alarm	change the alarm	[IN:UPDATE_ALARM]
alarm	Cancel alarm set for Saturday.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Cancel alarms for tomorrow.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set alarm for every 10 minutes	[IN:CREATE_ALARM]
alarm	Delete all my current alarms	[IN:DELETE_ALARM]
alarm	delete this alarm	[IN:DELETE_ALARM]
alarm	Set alarm for 5 a.m.	[IN:CREATE_ALARM]
alarm	set alarm for 2 am	[IN:CREATE_ALARM]
alarm	delete all my alarms	[IN:DELETE_ALARM]
alarm	SET ALARMS FOR 7AM AND 745 AM TOMORROW	[IN:CREATE_ALARM]
alarm	Set the alarm for Saturday at 10 am.	[IN:CREATE_ALARM]
alarm	Set alarm for 5 pm tonight	[IN:CREATE_ALARM]
alarm	cancel the last 2 alarms	[IN:DELETE_ALARM]
alarm	Cancel alarms	[IN:DELETE_ALARM]
alarm	show all alarms	[IN:GET_ALARM]
alarm	set alarm for 8:30pm tonight	[IN:CREATE_ALARM]
alarm	set alarm for 9 am every day	[IN:CREATE_ALARM]
alarm	Cancel all alarms for the week ahead	[IN:DELETE_ALARM]
alarm	How much time do I have before the alarm goes off	[IN:GET_ALARM]
alarm	Repeat alarms all week	[IN:UPDATE_ALARM]
alarm	Cancel all of my alarms	[IN:DELETE_ALARM]
alarm	Cancel all alarms.	[IN:DELETE_ALARM]
alarm	Reset my alarms	[IN:SILENCE_ALARM]
alarm	Set alarm for 9 am on Monday	[IN:CREATE_ALARM]
alarm	Reset alarm	[IN:SILENCE_ALARM]
alarm	Cancel alarm for 7:30 am tomorrow.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	turn off all alarms	[IN:SILENCE_ALARM]
alarm	add alarm	[IN:CREATE_ALARM]
alarm	Set alarm for 6 am tomorrow	[IN:CREATE_ALARM]
alarm	Set alarm for 3am	[IN:CREATE_ALARM]
alarm	set alarm for 3:47pm	[IN:CREATE_ALARM]
alarm	Remove alarm to clean my room.	[IN:DELETE_ALARM]
alarm	Set alarm every two minutes for 30 minutes	[IN:CREATE_ALARM]
alarm	Set my alarm for 7 am tomorrow	[IN:CREATE_ALARM]
alarm	Set alarm for 9pm tonight	[IN:CREATE_ALARM]
alarm	cancel 5am alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	What time will the alarm go off?	[IN:GET_ALARM]
alarm	set alarm for school tomorrow	[IN:CREATE_ALARM]
alarm	Set an alarm for my flight in 3 weeks at 6:00am	[IN:CREATE_ALARM]
alarm	Set a back alarm daily at 6:20am	[IN:CREATE_ALARM]
alarm	Set alarm for 5 am	[IN:CREATE_ALARM]
alarm	set a 4am alarm for wednesday	[IN:CREATE_ALARM]
alarm	I need the alarm set for 15 min.	[IN:CREATE_ALARM]
alarm	Cancel all the alarms please	[IN:DELETE_ALARM]
alarm	Delete my 4:30 Alarm tomorrow.	[IN:DELETE_ALARM, IN:GET_TIME, IN:GET_TIME]
alarm	turn the alarm off	[IN:SILENCE_ALARM]
alarm	show me what alarms I have	[IN:GET_ALARM]
alarm	Set alarm for 5:16 am Wednesday.	[IN:CREATE_ALARM]
alarm	Cancel my alarms tonight	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Make sure alarms shift to PST next week	[IN:UNSUPPORTED_ALARM]
alarm	Set alarm for 10pm	[IN:CREATE_ALARM]
alarm	Set an alarm for 4:58 pm everyday	[IN:CREATE_ALARM]
alarm	Look at my alarms for the week.	[IN:GET_ALARM, IN:GET_TIME]
alarm	Set my alarm for 5 am?	[IN:CREATE_ALARM]
alarm	I need to set an alarm.	[IN:CREATE_ALARM]
alarm	How much time before my next alarm?	[IN:GET_ALARM]
alarm	turn off alarm	[IN:SILENCE_ALARM]
alarm	How much time until my alarm goes off?	[IN:GET_ALARM]
alarm	update all my alarms for an additional hour tomorrow	[IN:UPDATE_ALARM]
alarm	set an alarm for 8pm tonight	[IN:CREATE_ALARM]
alarm	set an alarm for 7 minutes	[IN:CREATE_ALARM]
alarm	Set an alarm for every 3 hours.	[IN:CREATE_ALARM]
alarm	Set alarm for 2 pm	[IN:CREATE_ALARM]
alarm	set an alarm to go every 30 minutes for 4 hours	[IN:CREATE_ALARM]
alarm	delete alarm at 3:30am	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set an alarm for 10 PM tonight.	[IN:CREATE_ALARM]
alarm	Alarm for 2 minutes	[IN:CREATE_ALARM]
alarm	change my alarm to 8:30am	[IN:UPDATE_ALARM]
alarm	Set Alarm for 5:00am tomorrow morning	[IN:CREATE_ALARM]
alarm	Cancel all my alarms please	[IN:DELETE_ALARM]
alarm	Set an alarm for 20 minutes from now	[IN:CREATE_ALARM]
alarm	set alarm for 7am tomorrow morning EST	[IN:CREATE_ALARM]
alarm	change my 6am alarm to 630am.	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	Set an alarm for 6 pm tonight.	[IN:CREATE_ALARM]
alarm	cancel the alarm for work tomorrow	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	set alarm for bedtime	[IN:CREATE_ALARM]
alarm	Change alarm to 3 pm	[IN:UPDATE_ALARM]
alarm	Create an alarm for Sunday mornings at 9am.	[IN:CREATE_ALARM]
alarm	What time is the last alarm going to be	[IN:GET_ALARM]
alarm	Cancel all alarms for tomorrow.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set an alarm for 6:28 am.	[IN:CREATE_ALARM]
alarm	change my alarm to 7	[IN:UPDATE_ALARM]
alarm	Can you please set the alarm for I am tomorrow?	[IN:CREATE_ALARM]
